#{"t_start": 1784595293.677671, "env_id": "None"}
r,l,t
-181.0,10,0.004005
-156.0,10,0.006881
-94.0,10,0.009681
-77.0,10,0.012569
-32.0,10,0.015343
-166.0,10,0.018095
-68.0,10,0.020856
-84.0,10,0.023608
-162.0,10,0.026356
56.0,10,0.029124
-12.0,10,0.031914
54.0,10,0.034644
-109.0,10,0.037394
-77.0,10,0.040139
-22.0,10,0.042914
-66.0,10,0.045629
-69.0,10,0.048386
-45.0,10,0.051162
-92.0,10,0.053868
4.0,10,0.05658
-111.0,10,0.059325
24.0,10,0.062013
-52.0,10,0.064713
-90.0,10,0.067555
-43.0,10,0.070311
-28.0,10,0.073027
-82.0,10,0.075722
-62.0,10,0.078426
-111.0,10,0.081168
-53.0,10,0.083934
-135.0,10,0.086664
-35.0,10,0.089388
-70.0,10,0.092125
-8.0,10,0.094863
-18.0,10,0.097548
-156.0,10,0.100327
-71.0,10,0.103112
14.0,10,0.105825
-75.0,10,0.108547
-112.0,10,0.111301
-60.0,10,0.114045
-91.0,10,0.116771
-86.0,10,0.119469
-24.0,10,0.122208
-47.0,10,0.124927
-14.0,10,0.127646
-79.0,10,0.130385
-83.0,10,0.133114
-25.0,10,0.135831
-19.0,10,0.138555
-101.0,10,0.14217
-70.0,10,0.144969
-11.0,10,0.147749
5.0,10,0.15051
-76.0,10,0.153301
-49.0,10,0.156039
-31.0,10,0.158736
23.0,10,0.161445
-13.0,10,0.164138
-1.0,10,0.166937
-79.0,10,0.169695
-117.0,10,0.172423
-24.0,10,0.17518
-119.0,10,0.177923
-44.0,10,0.180679
-55.0,10,0.183403
-52.0,10,0.186119
-105.0,10,0.188869
-82.0,10,0.191563
-82.0,10,0.194302
-76.0,10,0.197023
12.0,10,0.19976
-101.0,10,0.202487
-1.0,10,0.2052
-26.0,10,0.207913
-44.0,10,0.210632
34.0,10,0.213369
-83.0,10,0.216097
-24.0,10,0.218808
-70.0,10,0.221496
-17.0,10,0.224201
9.0,10,0.226903
35.0,10,0.229619
9.0,10,0.232385
-86.0,10,0.235146
-42.0,10,0.237867
-14.0,10,0.240571
-34.0,10,0.243258
-51.0,10,0.246009
15.0,10,0.248725
14.0,10,0.251466
-59.0,10,0.254218
33.0,10,0.256936
-70.0,10,0.259658
-1.0,10,0.262387
-49.0,10,0.265146
-77.0,10,0.267877
-31.0,10,0.270579
-32.0,10,0.273305
26.0,10,0.276012
-77.0,10,0.279552
-35.0,10,0.282356
-91.0,10,0.285079
63.0,10,0.287785
-66.0,10,0.290504
-89.0,10,0.293231
-81.0,10,0.295961
-12.0,10,0.29867
-12.0,10,0.301454
-147.0,10,0.304161
-122.0,10,0.306877
79.0,10,0.309587
-80.0,10,0.312288
7.0,10,0.315018
-27.0,10,0.317763
4.0,10,0.320534
40.0,10,0.323232
-77.0,10,0.325927
-75.0,10,0.328702
-19.0,10,0.33147
14.0,10,0.334264
-36.0,10,0.336963
-97.0,10,0.339681
-55.0,10,0.342412
-87.0,10,0.345151
-46.0,10,0.347897
-46.0,10,0.350613
17.0,10,0.353325
-27.0,10,0.356035
-136.0,10,0.358758
-29.0,10,0.361496
-156.0,10,0.364253
-43.0,10,0.367068
-36.0,10,0.369835
-51.0,10,0.372568
61.0,10,0.375308
-27.0,10,0.378047
-28.0,10,0.380785
-243.0,10,0.38355
-34.0,10,0.386297
26.0,10,0.388989
-31.0,10,0.39171
-26.0,10,0.394416
-155.0,10,0.397133
-106.0,10,0.399875
-16.0,10,0.402592
-23.0,10,0.405308
-84.0,10,0.408029
16.0,10,0.410749
-16.0,10,0.413465
-1.0,10,0.417011
-150.0,10,0.419832
-37.0,10,0.42256
-56.0,10,0.425261
-81.0,10,0.427999
43.0,10,0.430742
2.0,10,0.433515
-30.0,10,0.436203
-30.0,10,0.438899
22.0,10,0.441598
45.0,10,0.44431
3.0,10,0.447059
-1.0,10,0.449807
-33.0,10,0.452523
75.0,10,0.455247
-15.0,10,0.457962
-70.0,10,0.460716
-45.0,10,0.463458
-47.0,10,0.466218
18.0,10,0.468931
-84.0,10,0.47165
-107.0,10,0.474369
27.0,10,0.477134
-107.0,10,0.479844
-22.0,10,0.482529
-46.0,10,0.485304
4.0,10,0.488007
-14.0,10,0.490722
37.0,10,0.493448
86.0,10,0.496135
8.0,10,0.498906
96.0,10,0.501644
-15.0,10,0.504369
10.0,10,0.507048
-7.0,10,0.509795
-10.0,10,0.512501
-76.0,10,0.515227
-85.0,10,0.517978
-82.0,10,0.520675
20.0,10,0.523365
-53.0,10,0.52612
79.0,10,0.52882
-47.0,10,0.531564
-30.0,10,0.534312
11.0,10,0.537033
-18.0,10,0.539759
5.0,10,0.542459
-60.0,10,0.545161
-49.0,10,0.547877
6.0,10,0.550584
-75.0,10,0.554082
-2.0,10,0.55686
5.0,10,0.559634
-108.0,10,0.562369
-22.0,10,0.56509
-21.0,10,0.567881
-52.0,10,0.570617
-172.0,10,0.573321
-114.0,10,0.576076
-94.0,10,0.578844
54.0,10,0.581578
-52.0,10,0.584339
-122.0,10,0.587069
-96.0,10,0.589788
-1.0,10,0.592532
-23.0,10,0.595251
35.0,10,0.597992
75.0,10,0.600772
-17.0,10,0.603493
-28.0,10,0.606255
-10.0,10,0.608972
22.0,10,0.611669
-84.0,10,0.614429
-82.0,10,0.617161
-19.0,10,0.619905
3.0,10,0.622646
-111.0,10,0.625367
67.0,10,0.628067
-24.0,10,0.630766
-67.0,10,0.633546
38.0,10,0.636278
-44.0,10,0.639028
-7.0,10,0.641752
-32.0,10,0.644506
