#{"t_start": 1784594949.549525, "env_id": "None"}
r,l,t
-108.0,10,0.643337
-219.0,10,0.643722
-211.0,10,0.644082
4.0,10,0.644416
-9.0,10,0.645077
-6.0,10,0.645413
-87.0,10,0.645776
-151.0,10,0.646102
-162.0,10,0.646689
-142.0,10,0.647016
-41.0,10,0.647359
-133.0,10,0.647682
-95.0,10,0.648258
-228.0,10,0.648587
-89.0,10,0.648941
-55.0,10,0.649274
-163.0,10,0.649884
-122.0,10,0.650221
-152.0,10,0.650568
-246.0,10,0.650895
-108.0,10,0.651472
-131.0,10,0.651797
-101.0,10,0.652152
-74.0,10,0.652476
-231.0,10,0.653062
-172.0,10,0.653389
-67.0,10,0.653735
-129.0,10,0.654084
-49.0,10,0.654669
-206.0,10,0.654994
-44.0,10,0.655336
-106.0,10,0.655669
-209.0,10,0.656242
-176.0,10,0.656567
-104.0,10,0.656908
-215.0,10,0.657233
-206.0,10,0.657801
-56.0,10,0.658128
-192.0,10,0.658474
-75.0,10,0.658791
-171.0,10,0.659345
-104.0,10,0.659664
-154.0,10,0.659999
-84.0,10,0.660318
-207.0,10,0.660875
-74.0,10,0.661195
-189.0,10,0.661541
-27.0,10,0.66187
54.0,10,0.662451
-181.0,10,0.662771
-144.0,10,0.669523
-183.0,10,0.669862
-161.0,10,0.670531
-104.0,10,0.670861
-105.0,10,0.671199
-69.0,10,0.671516
-37.0,10,0.672096
-117.0,10,0.672418
-147.0,10,0.672756
-140.0,10,0.673084
-180.0,10,0.673689
-67.0,10,0.674009
-136.0,10,0.674359
43.0,10,0.674682
-188.0,10,0.675275
-159.0,10,0.675593
-142.0,10,0.675933
-117.0,10,0.676259
-94.0,10,0.676841
-56.0,10,0.67716
-39.0,10,0.677495
-186.0,10,0.677816
-161.0,10,0.678409
9.0,10,0.678725
-131.0,10,0.679062
-62.0,10,0.679381
-99.0,10,0.679942
-51.0,10,0.680261
-139.0,10,0.680595
-171.0,10,0.680917
-173.0,10,0.681504
-79.0,10,0.681837
-87.0,10,0.682174
-84.0,10,0.682487
-81.0,10,0.683109
-43.0,10,0.683444
-133.0,10,0.683783
-145.0,10,0.684111
-30.0,10,0.684728
-147.0,10,0.685054
-15.0,10,0.685426
-112.0,10,0.685743
-96.0,10,0.686317
-103.0,10,0.686637
-26.0,10,0.686971
-117.0,10,0.687292
-84.0,10,0.68788
-128.0,10,0.688201
-85.0,10,0.688538
-163.0,10,0.688855
-157.0,10,0.769266
-94.0,10,0.771099
-129.0,10,0.773388
-102.0,10,0.775035
-75.0,10,0.777637
-121.0,10,0.779288
-248.0,10,0.78133
-87.0,10,0.782943
-70.0,10,0.785553
-139.0,10,0.787128
-131.0,10,0.789381
-186.0,10,0.791022
-165.0,10,0.793555
82.0,10,0.795289
29.0,10,0.797336
-131.0,10,0.798963
-8.0,10,0.801518
-107.0,10,0.803084
-1.0,10,0.805163
-143.0,10,0.806662
20.0,10,0.809243
-150.0,10,0.810862
-162.0,10,0.812878
-77.0,10,0.814451
-70.0,10,0.816864
-72.0,10,0.818484
79.0,10,0.820667
20.0,10,0.822248
-101.0,10,0.824679
-154.0,10,0.826273
-1.0,10,0.828329
36.0,10,0.829933
-134.0,10,0.83242
0.0,10,0.834049
-66.0,10,0.836154
-146.0,10,0.837601
56.0,10,0.84019
28.0,10,0.841874
-39.0,10,0.844128
-92.0,10,0.845651
-32.0,10,0.848269
-31.0,10,0.849759
-94.0,10,0.851874
-157.0,10,0.85339
-112.0,10,0.855741
-109.0,10,0.857295
3.0,10,0.859321
-136.0,10,0.860752
-103.0,10,0.863209
-242.0,10,0.86468
36.0,10,0.866831
-42.0,10,0.868471
1.0,10,0.870914
-30.0,10,0.872581
-87.0,10,0.8747
-131.0,10,0.876219
-64.0,10,0.878688
-14.0,10,0.880205
-7.0,10,0.882121
-56.0,10,0.88361
-40.0,10,0.886183
-18.0,10,0.887787
-60.0,10,0.889908
-145.0,10,0.89143
-117.0,10,0.894069
-64.0,10,0.895649
-79.0,10,0.897729
-47.0,10,0.89923
-60.0,10,0.901786
-12.0,10,0.903359
-82.0,10,0.905437
-127.0,10,0.906987
-22.0,10,0.909657
-67.0,10,0.911289
-12.0,10,0.913369
-44.0,10,0.915099
5.0,10,0.917638
-39.0,10,0.919195
-122.0,10,0.92126
-21.0,10,0.922836
26.0,10,0.925425
-104.0,10,0.926988
-150.0,10,0.928946
-10.0,10,0.930521
-104.0,10,0.933026
61.0,10,0.934667
-118.0,10,0.936682
-86.0,10,0.938238
-171.0,10,0.940645
-53.0,10,0.942332
-102.0,10,0.944368
-6.0,10,0.945831
-144.0,10,0.948281
-79.0,10,0.94991
-66.0,10,0.952029
-32.0,10,0.953588
7.0,10,0.956158
-90.0,10,0.957825
-22.0,10,0.959886
-216.0,10,0.961408
-73.0,10,0.963974
68.0,10,0.965644
-56.0,10,0.967693
-101.0,10,0.969197
-107.0,10,0.971588
-1.0,10,0.973161
-161.0,10,0.975273
26.0,10,0.976929
44.0,10,0.979467
-18.0,10,0.981033
-62.0,10,0.98314
-9.0,10,0.984782
109.0,10,0.987482
54.0,10,0.98913
-125.0,10,0.99108
36.0,10,0.992751
-98.0,10,0.995254
36.0,10,0.996873
-61.0,10,0.998997
-62.0,10,1.00056
-72.0,10,1.003074
31.0,10,1.004745
-126.0,10,1.006793
31.0,10,1.008528
1.0,10,1.011012
-94.0,10,1.012536
14.0,10,1.014668
24.0,10,1.016328
10.0,10,1.01896
3.0,10,1.020762
25.0,10,1.022933
-123.0,10,1.024382
-40.0,10,1.027007
-113.0,10,1.028715
-46.0,10,1.03085
-79.0,10,1.03261
16.0,10,1.035209
49.0,10,1.037008
-16.0,10,1.039208
-139.0,10,1.040657
-83.0,10,1.043012
-16.0,10,1.044659
35.0,10,1.046892
5.0,10,1.048419
1.0,10,1.05089
-125.0,10,1.052418
-112.0,10,1.054452
-14.0,10,1.056015
79.0,10,1.058613
-4.0,10,1.060306
17.0,10,1.062675
-31.0,10,1.064343
33.0,10,1.066873
89.0,10,1.068667
74.0,10,1.07092
54.0,10,1.072635
-48.0,10,1.075213
-46.0,10,1.076761
64.0,10,1.079115
-48.0,10,1.080775
-91.0,10,1.083413
-93.0,10,1.085071
22.0,10,1.087118
-59.0,10,1.088789
31.0,10,1.091499
-61.0,10,1.093173
19.0,10,1.095365
-121.0,10,1.096754
86.0,10,1.099438
-4.0,10,1.101196
-44.0,10,1.103231
56.0,10,1.104914
56.0,10,1.107457
-24.0,10,1.109238
-118.0,10,1.111331
72.0,10,1.113134
-78.0,10,1.115825
-77.0,10,1.117317
-163.0,10,1.11942
39.0,10,1.121128
140.0,10,1.123888
64.0,10,1.125352
-71.0,10,1.127535
-17.0,10,1.129305
-45.0,10,1.13196
26.0,10,1.133768
-1.0,10,1.136048
16.0,10,1.1377
-54.0,10,1.140261
86.0,10,1.141981
78.0,10,1.144335
43.0,10,1.146034
66.0,10,1.148567
19.0,10,1.150275
86.0,10,1.152517
3.0,10,1.154318
126.0,10,1.157074
-27.0,10,1.158727
-136.0,10,1.16073
74.0,10,1.162389
102.0,10,1.16503
3.0,10,1.166679
7.0,10,1.168917
-108.0,10,1.170602
-61.0,10,1.173112
-54.0,10,1.174791
-7.0,10,1.177082
149.0,10,1.178847
-74.0,10,1.181283
52.0,10,1.182921
15.0,10,1.185077
-79.0,10,1.186797
49.0,10,1.18936
-4.0,10,1.19103
-69.0,10,1.193323
27.0,10,1.195048
35.0,10,1.197659
-2.0,10,1.199266
-36.0,10,1.201401
-37.0,10,1.203218
-61.0,10,1.205869
-45.0,10,1.207476
57.0,10,1.209762
-83.0,10,1.211649
-80.0,10,1.214438
79.0,10,1.216308
94.0,10,1.218778
-10.0,10,1.220714
-49.0,10,1.223549
16.0,10,1.225429
24.0,10,1.227892
-7.0,10,1.229672
41.0,10,1.232461
79.0,10,1.234472
-101.0,10,1.236726
108.0,10,1.23879
39.0,10,1.241717
-76.0,10,1.243514
9.0,10,1.24594
-63.0,10,1.247734
-74.0,10,1.250582
114.0,10,1.252522
-31.0,10,1.254802
-17.0,10,1.256725
56.0,10,1.259574
-54.0,10,1.261371
41.0,10,1.263932
2.0,10,1.265814
-2.0,10,1.26864
97.0,10,1.270567
-49.0,10,1.272939
147.0,10,1.274979
68.0,10,1.278119
8.0,10,1.28005
93.0,10,1.282346
-64.0,10,1.284043
75.0,10,1.286948
-1.0,10,1.288757
-95.0,10,1.290991
100.0,10,1.292857
95.0,10,1.295787
40.0,10,1.297654
80.0,10,1.300143
0.0,10,1.302061
-23.0,10,1.304805
44.0,10,1.306833
101.0,10,1.309396
8.0,10,1.311283
33.0,10,1.314186
100.0,10,1.316182
16.0,10,1.318578
124.0,10,1.320486
-30.0,10,1.323249
61.0,10,1.32502
135.0,10,1.327411
124.0,10,1.329289
-119.0,10,1.331922
119.0,10,1.333723
4.0,10,1.335964
-16.0,10,1.337703
170.0,10,1.340502
89.0,10,1.342349
47.0,10,1.344595
54.0,10,1.34636
89.0,10,1.349151
39.0,10,1.351013
75.0,10,1.353358
23.0,10,1.35515
-13.0,10,1.357877
-11.0,10,1.359673
89.0,10,1.36199
119.0,10,1.363713
124.0,10,1.36625
-19.0,10,1.368076
79.0,10,1.370415
72.0,10,1.372198
24.0,10,1.374985
33.0,10,1.376821
-29.0,10,1.379099
170.0,10,1.380994
-33.0,10,1.383773
154.0,10,1.385701
78.0,10,1.388041
-73.0,10,1.390073
73.0,10,1.392858
-24.0,10,1.394529
51.0,10,1.396852
65.0,10,1.398697
91.0,10,1.401429
93.0,10,1.403323
82.0,10,1.405511
165.0,10,1.407307
52.0,10,1.410071
68.0,10,1.41184
51.0,10,1.414208
7.0,10,1.415903
-55.0,10,1.418598
3.0,10,1.420416
126.0,10,1.422832
119.0,10,1.424634
70.0,10,1.427381
66.0,10,1.429195
119.0,10,1.431595
18.0,10,1.433389
26.0,10,1.435976
54.0,10,1.437756
-25.0,10,1.439944
105.0,10,1.441747
96.0,10,1.444463
89.0,10,1.446289
131.0,10,1.448661
140.0,10,1.450461
109.0,10,1.453217
-11.0,10,1.454932
51.0,10,1.457209
8.0,10,1.458958
89.0,10,1.461739
112.0,10,1.463616
147.0,10,1.466003
200.0,10,1.467867
81.0,10,1.47066
0.0,10,1.472506
119.0,10,1.474804
86.0,10,1.476601
79.0,10,1.479306
-1.0,10,1.481036
61.0,10,1.483408
94.0,10,1.485138
131.0,10,1.487865
112.0,10,1.489678
112.0,10,1.492086
95.0,10,1.493888
67.0,10,1.496527
135.0,10,1.498323
131.0,10,1.50066
51.0,10,1.502438
49.0,10,1.505069
-39.0,10,1.506879
149.0,10,1.509152
104.0,10,1.510956
94.0,10,1.513697
84.0,10,1.515532
132.0,10,1.517858
131.0,10,1.519725
147.0,10,1.522413
28.0,10,1.524198
14.0,10,1.526451
200.0,10,1.528316
77.0,10,1.53099
117.0,10,1.53288
140.0,10,1.535238
21.0,10,1.53703
-70.0,10,1.539633
31.0,10,1.541518
73.0,10,1.543787
35.0,10,1.545647
46.0,10,1.5484
117.0,10,1.550243
117.0,10,1.552636
86.0,10,1.554477
57.0,10,1.557281
33.0,10,1.559184
142.0,10,1.561527
126.0,10,1.563402
78.0,10,1.566137
73.0,10,1.567979
67.0,10,1.570182
154.0,10,1.572021
-35.0,10,1.574661
140.0,10,1.576557
94.0,10,1.57894
126.0,10,1.580824
200.0,10,1.583581
94.0,10,1.58549
177.0,10,1.587908
170.0,10,1.589793
101.0,10,1.592532
121.0,10,1.59437
112.0,10,1.59672
72.0,10,1.598512
101.0,10,1.601348
119.0,10,1.603245
170.0,10,1.605644
59.0,10,1.607485
170.0,10,1.610307
24.0,10,1.612145
177.0,10,1.614536
114.0,10,1.616372
170.0,10,1.619157
140.0,10,1.621099
154.0,10,1.623398
131.0,10,1.625307
177.0,10,1.628077
101.0,10,1.629947
147.0,10,1.632272
125.0,10,1.634113
50.0,10,1.636852
101.0,10,1.638742
119.0,10,1.641088
142.0,10,1.642967
142.0,10,1.645736
84.0,10,1.647565
112.0,10,1.649928
124.0,10,1.651823
38.0,10,1.654464
170.0,10,1.656252
86.0,10,1.658539
124.0,10,1.660393
72.0,10,1.663161
177.0,10,1.665085
101.0,10,1.667491
75.0,10,1.66936
63.0,10,1.672036
177.0,10,1.673871
154.0,10,1.676266
87.0,10,1.678142
124.0,10,1.680915
79.0,10,1.682756
142.0,10,1.685155
78.0,10,1.687001
108.0,10,1.689783
126.0,10,1.691678
55.0,10,1.69403
147.0,10,1.695912
117.0,10,1.698664
117.0,10,1.700539
177.0,10,1.702878
98.0,10,1.704771
172.0,10,1.707491
177.0,10,1.709346
101.0,10,1.711718
98.0,10,1.713553
149.0,10,1.716223
140.0,10,1.718111
110.0,10,1.720487
59.0,10,1.722397
147.0,10,1.725172
103.0,10,1.727065
154.0,10,1.729454
78.0,10,1.731308
132.0,10,1.734044
154.0,10,1.735924
154.0,10,1.738319
41.0,10,1.740194
16.0,10,1.742834
101.0,10,1.744728
154.0,10,1.747138
126.0,10,1.74901
131.0,10,1.75176
154.0,10,1.753659
103.0,10,1.756038
126.0,10,1.757859
-110.0,10,1.760465
131.0,10,1.762346
49.0,10,1.764646
117.0,10,1.766555
200.0,10,1.769356
73.0,10,1.771233
66.0,10,1.773579
124.0,10,1.775458
109.0,10,1.778116
79.0,10,1.779941
103.0,10,1.782322
63.0,10,1.784191
89.0,10,1.786989
46.0,10,1.788702
59.0,10,1.791005
96.0,10,1.792895
112.0,10,1.79567
71.0,10,1.797495
102.0,10,1.79982
78.0,10,1.801705
154.0,10,1.804494
154.0,10,1.80641
170.0,10,1.808763
147.0,10,1.810664
177.0,10,1.813426
200.0,10,1.815315
70.0,10,1.817686
119.0,10,1.819485
170.0,10,1.822294
87.0,10,1.824179
94.0,10,1.826518
77.0,10,1.828353
-9.0,10,1.831002
177.0,10,1.832898
57.0,10,1.835297
149.0,10,1.837124
100.0,10,1.839858
112.0,10,1.841693
71.0,10,1.843995
109.0,10,1.845854
140.0,10,1.848645
64.0,10,1.850517
131.0,10,1.852935
126.0,10,1.854812
64.0,10,1.85761
71.0,10,1.859494
154.0,10,1.861878
149.0,10,1.863764
85.0,10,1.866543
101.0,10,1.868428
89.0,10,1.870791
142.0,10,1.872622
124.0,10,1.875441
102.0,10,1.877292
124.0,10,1.879716
177.0,10,1.881596
126.0,10,1.884269
15.0,10,1.886094
124.0,10,1.888437
96.0,10,1.890292
101.0,10,1.89308
147.0,10,1.894984
84.0,10,1.897245
94.0,10,1.899015
147.0,10,1.901785
131.0,10,1.903699
177.0,10,1.906088
200.0,10,1.907988
124.0,10,1.910744
177.0,10,1.912634
200.0,10,1.915019
170.0,10,1.916911
96.0,10,1.919677
124.0,10,1.921558
47.0,10,1.923913
66.0,10,1.925791
200.0,10,1.928573
124.0,10,1.93047
