#{"t_start": 1784595152.498751, "env_id": "None"}
r,l,t
-48.0,10,0.003196
-139.0,10,0.004451
-92.0,10,0.005685
-119.0,10,0.006915
-132.0,10,0.008143
-122.0,10,0.009363
-82.0,10,0.010576
-119.0,10,0.011791
12.0,10,0.012997
42.0,10,0.014204
-119.0,10,0.015403
-3.0,10,0.016609
-62.0,10,0.017813
-77.0,10,0.019012
-120.0,10,0.020215
-117.0,10,0.021432
-132.0,10,0.02264
-135.0,10,0.023836
-13.0,10,0.025028
-41.0,10,0.026234
-74.0,10,0.027473
-218.0,10,0.028669
-122.0,10,0.029866
-148.0,10,0.031063
-154.0,10,0.032264
-137.0,10,0.033473
-135.0,10,0.034682
-14.0,10,0.035912
-58.0,10,0.037113
-134.0,10,0.038317
-145.0,10,0.039509
-143.0,10,0.040726
-124.0,10,0.041935
-114.0,10,0.043141
-176.0,10,0.044356
10.0,10,0.045556
-100.0,10,0.046747
-109.0,10,0.047947
-108.0,10,0.049145
-122.0,10,0.050337
-144.0,10,0.051539
-143.0,10,0.052738
-128.0,10,0.053927
-298.0,10,0.055119
-75.0,10,0.05631
-100.0,10,0.057504
-195.0,10,0.058699
-56.0,10,0.059922
-162.0,10,0.061156
-40.0,10,0.062361
-6.0,10,0.063569
-74.0,10,0.064769
-192.0,10,0.065969
-126.0,10,0.067159
-85.0,10,0.068363
-64.0,10,0.069562
-62.0,10,0.070765
-117.0,10,0.071969
-129.0,10,0.073182
24.0,10,0.074394
-88.0,10,0.075593
-211.0,10,0.076794
-68.0,10,0.077998
-164.0,10,0.079194
-31.0,10,0.080383
-117.0,10,0.081582
-169.0,10,0.082784
-6.0,10,0.083978
-114.0,10,0.085175
7.0,10,0.086378
-245.0,10,0.087574
-32.0,10,0.088773
-199.0,10,0.089966
-201.0,10,0.091158
-206.0,10,0.092352
-133.0,10,0.09362
-214.0,10,0.094832
-151.0,10,0.096019
-21.0,10,0.097222
-142.0,10,0.098423
-14.0,10,0.099618
-147.0,10,0.100826
-96.0,10,0.102035
-122.0,10,0.103235
-148.0,10,0.104423
-119.0,10,0.105612
-197.0,10,0.106802
-46.0,10,0.108009
-96.0,10,0.109224
-136.0,10,0.110408
-95.0,10,0.1116
-52.0,10,0.112796
-191.0,10,0.113992
-36.0,10,0.115188
-188.0,10,0.116382
-169.0,10,0.117573
-126.0,10,0.118775
-179.0,10,0.119973
-104.0,10,0.121173
-193.0,10,0.122372
-233.0,10,0.123569
-172.0,10,0.124756
-48.0,10,0.125945
-36.0,10,0.127195
-234.0,10,0.128424
-190.0,10,0.12962
-161.0,10,0.130808
-113.0,10,0.131996
-33.0,10,0.133212
-79.0,10,0.134411
59.0,10,0.135603
-76.0,10,0.136797
-87.0,10,0.137989
-59.0,10,0.139177
-99.0,10,0.140365
-77.0,10,0.141555
-68.0,10,0.142744
-114.0,10,0.143938
-136.0,10,0.145143
-156.0,10,0.14634
-136.0,10,0.147543
-269.0,10,0.148735
-32.0,10,0.149925
-44.0,10,0.151125
-148.0,10,0.152317
-94.0,10,0.153509
-88.0,10,0.154696
-46.0,10,0.155887
-82.0,10,0.157086
-49.0,10,0.158291
-37.0,10,0.159482
-31.0,10,0.160724
-178.0,10,0.161915
-156.0,10,0.163109
-26.0,10,0.164294
-145.0,10,0.165521
-141.0,10,0.166713
-69.0,10,0.167909
-100.0,10,0.169102
-190.0,10,0.170296
-278.0,10,0.171485
-139.0,10,0.172687
-120.0,10,0.173869
-166.0,10,0.175052
-75.0,10,0.176241
-61.0,10,0.177432
-84.0,10,0.178625
-179.0,10,0.179818
-218.0,10,0.181011
7.0,10,0.182206
-89.0,10,0.1834
-96.0,10,0.184599
-205.0,10,0.185791
-9.0,10,0.186995
-124.0,10,0.188191
-191.0,10,0.189382
-131.0,10,0.190577
-200.0,10,0.191768
-199.0,10,0.192992
-66.0,10,0.194221
-90.0,10,0.195421
-148.0,10,0.196606
-45.0,10,0.197808
-114.0,10,0.198998
-114.0,10,0.200187
-44.0,10,0.20139
-36.0,10,0.202581
-191.0,10,0.203779
-115.0,10,0.204982
-157.0,10,0.206188
-71.0,10,0.207377
-160.0,10,0.208568
-161.0,10,0.20977
-94.0,10,0.21098
-108.0,10,0.212176
-133.0,10,0.213364
-159.0,10,0.214559
-27.0,10,0.215741
-146.0,10,0.21693
-78.0,10,0.21812
-76.0,10,0.219315
-112.0,10,0.220501
-100.0,10,0.221692
-201.0,10,0.222902
-123.0,10,0.22411
-146.0,10,0.225296
-104.0,10,0.226511
-204.0,10,0.227725
-178.0,10,0.22892
-119.0,10,0.230108
-201.0,10,0.23132
-198.0,10,0.232513
-242.0,10,0.233707
-71.0,10,0.234907
-31.0,10,0.2361
-71.0,10,0.237291
-124.0,10,0.238471
-246.0,10,0.239665
-81.0,10,0.240852
-215.0,10,0.24205
-14.0,10,0.243248
-63.0,10,0.244471
-135.0,10,0.245657
-98.0,10,0.246848
-142.0,10,0.510601
-42.0,10,0.511889
-49.0,10,0.513129
-67.0,10,0.514352
-59.0,10,0.515576
